Unique Identifier,Sku_id,Website,Brand,Name,Url,Category,Status,Competitor Instock Matches,Availability,Price (USD),Discount %,Difference Percent,Difference,Price Index,Match Type,groups
11642459_Black,11642459_Black,Macy's,kenneth cole,Kenneth Cole Reaction Men's Techni-Cole Suit Separate Slim-Fit Suit Jacket,https://www.macys.com/shop/product/kenneth-cole-reaction-mens-techni-cole-suit-separate-slim-fit-suit-jacket?ID=11642459&swatchColor=Black,Home > Fashion > Apparel > Topwear > Blazers and Coats > Blazer,Overpriced,2 Instock,Instock,360.0,0.0,0.00%,0,619.2,"",Men > Suits & Tuxedos
11642459_Black,111713350,Asos,jack & jones,Jack & Jones Premium super slim fit stretch wool mix suit jacket in black,https://www.asos.com/us/jack-jones/jack-jones-premium-super-slim-fit-stretch-wool-mix-suit-jacket-in-black/prd/201310598,Home > Fashion > Apparel > Topwear > Blazers and Coats > Blazer,"","",Instock,58.14,62.0,83.85%,301.86,619.2,Similar 1,Home
11642459_Black,2728436_black,Kohl's,haggar,Men's J.M. Haggar™ Premium Slim-Fit Stretch Suit Jacket,https://www.kohls.com/product/prd-2728436/mens-haggar-premium-slim-fit-stretch-suit-coat.jsp?color=Black,Home > Fashion > Apparel > Topwear > Blazers and Coats > Coats,"","",Instock,220.0,0.0,38.89%,140.0,163.64,Similar 2,Mens > Clothing > Suits > Suit Sets > Haggar
10502776_Hunter Navy,10502776_Hunter Navy,Macy's,polo ralph lauren,Polo Ralph Lauren Men's Cable-Knit Cotton Sweater,https://www.macys.com/shop/product/polo-ralph-lauren-mens-cable-knit-cotton-sweater?ID=10502776&swatchColor=Hunter%20Navy,Home > Fashion > Apparel > Topwear > Sweaters,Out Of Stock,1 Instock,Out of Stock,79.99,42.04,0.00%,0,36.53,"",Men > Sweaters
10502776_Hunter Navy,1686827,Endclothing Us Fashion,polo ralph lauren,Polo Ralph Lauren Cotton Cable Crew Knit,https://www.endclothing.com/us/polo-ralph-lauren-cotton-cable-crew-knit-710775885001.html,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Polos,"","",Instock,219.0,0.0,-173.78%,-139.01,36.53,Exact,Mens > Brands > Polo Ralph Lauren
16744082_Chianti,16744082_Chianti,Macy's,calvin klein,Calvin Klein Women's Thermal Zip-Front Hoodie,https://www.macys.com/shop/product/calvin-klein-performance-womens-thermal-zip-front-hoodie?ID=16744082&swatchColor=Chianti%20Purple,Home > Fashion > Apparel > Topwear > Sweatshirts,No Competitor,No Match Available,Instock,59.5,0.0,0.00%,0,"","",Women > Activewear
13585835_Black,13585835_Black,Macy's,nike,Nike Women's Black LSU Tigers Logo Performance Long Sleeve T-shirt,https://www.macys.com/shop/product/womens-nike-black-lsu-tigers-logo-performance-long-sleeve-t-shirt?ID=13585835&swatchColor=Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,Out Of Stock,0 Instock,Out of Stock,39.99,0.0,0.00%,0,"","",Sports Fan Shop
13585835_Black,5038292_lsu black,Kohl's,nike,Women's Nike Black LSU Tigers Logo Performance Long Sleeve T-Shirt,https://www.kohls.com/product/prd-5038292/womens-nike-black-lsu-tigers-logo-performance-long-sleeve-t-shirt.jsp?color=Lsu%20Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Out of Stock,27.99,30.01,30.01%,12.0,142.87,Exact,Womens > Clothing > Tops > Tops & Tees > Nike
9575553_Purple,9575553_Purple,Macy's,white mark,White Mark Plus Size Tasmin Flare Midi Skirt,https://www.macys.com/shop/product/white-mark-plus-size-tasmin-flare-midi-skirt?ID=9575553&swatchColor=Purple,Home > Fashion > Apparel > Bottomwear > Skirts,Out Of Stock,2 Instock,Out of Stock,49.0,0.0,0.00%,0,115.59,"",Women > Skirts
9575553_Purple,118822298,Asos,closet,Closet London Plus pleated midi skirt in cream,https://www.asos.com/us/closet-london-plus/closet-london-plus-pleated-midi-skirt-in-cream/prd/202855972,Home > Fashion > Apparel > Bottomwear > Skirts,"","",Out of Stock,38.22,58.0,22.00%,10.78,128.21,Similar 1,Home
